RespondId,SOI,RiskTaking,DDk,KSF,Age,Gender,Sex,SexOrient,Race,Relationship,Children,Planforchildren,Ageof1stchild,@#children,Residence,Location,SexRatio,LifeExpectancy,Income,HHIncome,Roommates,PopulationDensity
1,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,1,NA,51,70,60000,60000,8,2000
1,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,2,NA,49,50,10000,150000,6,10000
1,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,3,NA,53,70,120000,400000,4,5000
1,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,4,NA,50,40,90000,90000,9,2000
1,1.1111111111111112,2.4285714285714284,0.15876862958788554,0.06570681992202705,24,Female,Female,Heterosexual,Hispanic / Latino(a),Single,No,Definitely yes,30,10,5,NA,53,60,70000,50000,24,2000
2,2.6666666666666665,2.857142857142857,0.0025111537475380444,-0.2453065771022819,21,Male,Male,Heterosexual,White / Caucasian,Dating,No,Probably yes,26,2,1,NA,55,75,40000,300000,6,350
2,2.6666666666666665,2.857142857142857,0.0025111537475380444,-0.2453065771022819,21,Male,Male,Heterosexual,White / Caucasian,Dating,No,Probably yes,26,2,2,NA,49,70,30000,100000,6,400
2,2.6666666666666665,2.857142857142857,0.0025111537475380444,-0.2453065771022819,21,Male,Male,Heterosexual,White / Caucasian,Dating,No,Probably yes,26,2,3,NA,47,75,25000,2000,1,400
2,2.6666666666666665,2.857142857142857,0.0025111537475380444,-0.2453065771022819,21,Male,Male,Heterosexual,White / Caucasian,Dating,No,Probably yes,26,2,4,NA,51,70,40000,5000,3,1000
3,1.3333333333333333,2,0.0010018370497569505,0.25393066014488513,20,Female,Female,Heterosexual,White / Caucasian,Dating,No,Definitely yes,26,4,1,NA,51,75,70000,100000,6,50
3,1.3333333333333333,2,0.0010018370497569505,0.25393066014488513,20,Female,Female,Heterosexual,White / Caucasian,Dating,No,Definitely yes,26,4,2,NA,29,19,4000,5000,4,5000
3,1.3333333333333333,2,0.0010018370497569505,0.25393066014488513,20,Female,Female,Heterosexual,White / Caucasian,Dating,No,Definitely yes,26,4,3,NA,49,19,6000,5000,3,1000
3,1.3333333333333333,2,0.0010018370497569505,0.25393066014488513,20,Female,Female,Heterosexual,White / Caucasian,Dating,No,Definitely yes,26,4,4,NA,52,20,6000,5000,4,1000
